Day fraction since midnight on 11/5/2019	7 kPa (cm)	water flow (mL/s)	coag flow (mL/s)	max x + 1 ()	max cycles ()	cycles ()
0.32395843	0.00000000	0.50339240	0.00330760	6.00000000	12.00000000	7.00000000
0.32401631	0.00000000	0.50339240	0.00330760	6.00000000	12.00000000	8.00000000
0.32407418	0.00000000	0.50008480	0.00661520	6.00000000	12.00000000	10.00000000
0.32413204	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	1.00000000
0.32418992	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	2.00000000
0.32424779	0.00000000	0.50587310	0.00082690	6.00000000	12.00000000	4.00000000
0.32430565	0.00000000	0.50504620	0.00165380	6.00000000	12.00000000	6.00000000
0.32436353	0.00000000	0.50339240	0.00330760	6.00000000	12.00000000	7.00000000
0.32442140	0.00000000	0.50008480	0.00661520	6.00000000	12.00000000	9.00000000
0.32447927	0.00000000	0.49346960	0.01323040	6.00000000	12.00000000	11.00000000
0.32453714	0.00000000	0.49346960	0.01323040	6.00000000	12.00000000	12.00000000
0.32459501	0.00000000	0.48023920	0.02646080	6.00000000	12.00000000	14.00000000
0.32465288	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	16.00000000
0.32471075	0.00000000	0.50587310	0.00082690	6.00000000	12.00000000	17.00000000
0.32476862	0.00000000	0.50504620	0.00165380	6.00000000	12.00000000	19.00000000
0.32482649	0.00000000	0.50504620	0.00165380	6.00000000	12.00000000	20.00000000
0.32488436	0.00000000	0.50339240	0.00330760	6.00000000	12.00000000	22.00000000
0.32494223	0.00000000	0.50008480	0.00661520	6.00000000	12.00000000	24.00000000
0.32500011	0.00000000	0.49346960	0.01323040	6.00000000	12.00000000	25.00000000
0.32505797	0.00000000	0.48023920	0.02646080	6.00000000	12.00000000	27.00000000
0.32511584	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	29.00000000
0.32517304	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	0.00000000
